ID,x,y,kmeans
spot_533,16952,7116,0
spot_534,14435,11472,0
spot_535,19996,16396,0
spot_536,15946,9149,0
spot_537,13165,6687,2
spot_538,6876,20768,1
spot_539,11922,19310,2
spot_540,8119,8435,2
spot_541,9379,6837,2
spot_542,17734,23218,0
spot_543,5600,11921,1
spot_544,16699,6391,0
spot_545,9382,9159,2
spot_546,16206,14516,0
spot_547,10398,13219,1
spot_548,16721,21189,0
spot_549,14176,7555,2
spot_550,16213,19158,2
spot_551,17209,9872,0
spot_552,18995,22491,0
spot_553,4093,16566,1
spot_554,5865,19900,1
spot_555,10901,11768,2
spot_556,19736,11609,0
spot_557,20996,10011,0
spot_558,10406,17862,2
spot_559,18471,10015,0
spot_560,13924,7701,2
spot_561,11148,7850,2
spot_562,18489,21331,0
spot_563,8647,23522,1
spot_564,7876,14384,1
spot_565,9887,9158,2
spot_566,5616,22366,1
spot_567,4591,12503,1
spot_568,15963,20464,2
spot_569,10918,22793,1
spot_570,23035,22775,0
spot_571,4103,23239,1
spot_572,5359,19320,1
spot_573,6627,23235,1
spot_574,11910,11476,2
spot_575,23263,6961,0
spot_576,20003,21039,0
spot_577,7888,22218,1
spot_578,13928,10602,2
spot_579,7617,10177,2
spot_580,15453,16983,2
spot_581,19994,15526,0
spot_582,9145,19169,1
spot_583,11160,15974,2
spot_584,22758,6672,0
spot_585,9136,13076,2
spot_586,7379,19317,1
spot_587,12429,20470,2
spot_588,18469,8564,0
spot_589,15941,5957,0
spot_590,12922,12925,2
spot_591,4605,21207,1
spot_592,17205,6971,0
spot_593,18985,15527,0
spot_594,14193,18581,2
spot_595,17963,7985,0
spot_596,20994,8851,0
spot_597,10653,14524,1
spot_598,12410,7993,2
spot_599,11656,10171,2
spot_600,19993,14945,0
spot_601,17972,13498,0
spot_602,16718,18867,2
spot_603,17206,7841,0
spot_604,9388,12640,2
spot_605,20759,20312,0
spot_606,19991,13495,0
spot_607,19746,17992,0
spot_608,9647,16847,1
spot_609,14431,8861,2
spot_610,21000,12913,0
spot_611,22275,21180,0
spot_612,19984,8852,0
spot_613,7624,14529,1
spot_614,20742,9286,0
spot_615,14199,22643,2
spot_616,8137,20041,1
spot_617,18237,22057,0
spot_618,13163,5526,2
spot_619,16449,8277,0
spot_620,16447,7117,0
spot_621,9127,7273,2
spot_622,21998,5367,0
spot_623,16705,10453,0
spot_624,8127,13658,2
spot_625,10146,13074,1
spot_626,20993,8270,0
spot_627,20002,20748,0
spot_628,9902,18443,1
spot_629,13947,22789,2
spot_630,5864,19029,1
spot_631,19487,14076,0
spot_632,16447,6827,0
spot_633,7113,10468,1
spot_634,20498,14654,0
spot_635,3843,18162,1
spot_636,8392,21927,1
spot_637,5345,10325,1
spot_638,15198,15388,0
spot_639,4348,18451,1
spot_640,19228,9869,0
spot_641,23016,10298,0
spot_642,19997,17557,0
spot_643,9146,19459,1
spot_644,7878,15834,1
spot_645,18236,20896,0
spot_646,16968,17561,2
spot_647,7889,23088,1
spot_648,13432,16116,2
spot_649,8386,17865,1
spot_650,13691,20613,2
spot_651,14182,11618,2
spot_652,8890,17284,1
spot_653,4099,20628,1
spot_654,4100,21498,1
spot_655,17460,9146,0
spot_656,5095,11922,1
spot_657,3840,16131,1
spot_658,21010,19586,0
spot_659,22000,6528,0
spot_660,14178,8426,2
spot_661,20005,22489,0
spot_662,19235,14511,0
spot_663,14696,17420,2
spot_664,7870,10612,2
spot_665,21015,22778,0
spot_666,14687,11617,0
spot_667,8388,19315,1
spot_668,9908,22795,1
spot_669,10414,23374,2
spot_670,23285,21759,0
spot_671,16971,19302,2
spot_672,17216,14514,0
spot_673,15456,19014,2
spot_674,21766,18860,0
spot_675,15943,7408,0
spot_676,11422,22502,1
spot_677,18237,21767,0
spot_678,10405,17571,1
spot_679,16214,19449,2
spot_680,15463,23367,2
spot_681,10899,10607,2
spot_682,7621,13078,2
spot_683,15188,8715,0
spot_684,19493,17848,0
spot_685,18491,22782,0
spot_686,18720,7549,0
spot_687,7887,21347,1
spot_688,10393,9447,2
spot_689,16454,11179,0
spot_690,9885,7707,2
spot_691,7124,18012,1
spot_692,12935,21049,2
spot_693,17718,12773,0
spot_694,11168,21487,1
spot_695,5859,15837,1
spot_696,20005,22779,0
spot_697,14934,7990,2
spot_698,8124,11627,2
spot_699,12672,14521,2
spot_700,20997,10882,0
spot_701,7634,21493,1
spot_702,13184,19163,2
spot_703,21267,22342,0
spot_704,20238,9867,0
spot_705,12426,18439,2
spot_706,4607,22658,1
spot_707,21251,11607,0
spot_708,11415,17860,2
spot_709,12167,14232,2
spot_710,7113,11048,2
spot_711,6869,16126,1
spot_712,19734,10158,0
spot_713,12665,9589,2
spot_714,12682,20905,2
spot_715,13443,23080,2
spot_716,15439,7989,0
spot_717,19248,22636,0
spot_718,10409,20183,1
spot_719,21516,20166,0
spot_720,19991,13205,0
spot_721,13167,7557,2
spot_722,20258,22924,0
spot_723,14703,21772,2
spot_724,20485,6240,0
spot_725,9393,15832,1
spot_726,14187,14809,2
spot_727,5105,18305,1
spot_728,21769,20601,0
spot_729,7875,13803,2
spot_730,21243,6384,0
spot_731,21762,16248,0
spot_732,11167,20907,2
spot_733,6371,20769,1
spot_734,12660,6687,2
spot_735,10151,16556,1
spot_736,5357,17869,1
spot_737,21507,14073,0
spot_738,4344,15550,1
spot_739,4855,19901,1
spot_740,7883,19316,1
spot_741,7116,12499,2
spot_742,10141,9883,2
spot_743,19989,12044,0
spot_744,18470,8855,0
spot_745,20743,10157,0
spot_746,15959,18143,2
spot_747,17728,19446,2
spot_748,7868,9161,2
spot_749,14447,19596,2
spot_750,8135,18590,1
spot_751,9909,23085,1
spot_752,21241,5223,0
spot_753,13435,18147,2
spot_754,10142,10753,2
spot_755,15692,8424,0
spot_756,13945,21338,2
spot_757,20249,16831,0
