barcode,mclust,x,y
aaaafdef-1,2,1272.8153381347656,3511.1644775390623
aaaafdeg-1,2,1309.064227294922,3511.0507568359376
aaaafdeh-1,2,1286.070440673828,3508.8053955078126
aaaafdei-1,2,1266.6229553222656,3513.0599609375
aaaafdej-1,2,1298.7529968261715,3511.936865234375
aaaafdek-1,2,1301.398352050781,3519.1514892578125
aaaafdel-1,2,1283.2153869628903,3517.2709472656247
aaaafdem-1,2,1329.1975646972655,3515.6498046875
aaaafden-1,2,1291.127587890625,3521.427563476562
aaaafdeo-1,2,1322.1030944824215,3516.8052734375
aaaafdep-1,2,1278.0300964355467,3523.826904296875
aaaafdfa-1,2,1324.1866943359375,3533.2806640625
aaaafdfb-1,2,1313.2998046875,3526.4254638671873
aaaafdfc-1,2,1267.970587158203,3527.3659423828126
aaaafdfd-1,2,1311.9187622070312,3534.9528564453126
aaaafdfe-1,2,1304.7006103515623,3535.07529296875
aaaafdff-1,2,1271.4107421875,3533.5819824218747
aaaafdfg-1,2,1277.2576049804686,3538.1266601562497
aaaafdfh-1,2,1287.1361572265623,3535.5023681640623
aaaafdfi-1,2,1300.6271057128906,3544.0862060546874
aaaafdfj-1,2,1264.7583923339844,3540.6256103515625
aaaafdfk-1,2,1266.7237060546877,3546.6557128906247
aaaafdfl-1,2,1291.5148193359375,3552.1263427734375
aaaafdfm-1,2,1270.3793701171874,3577.706860351562
aaaafdfn-1,2,1280.519500732422,3573.9611328124997
aaaafdfo-1,2,1264.8748107910155,3568.277172851562
aaaafdfp-1,2,1286.378503417969,3561.4514404296874
aaaafdga-1,2,1265.7656921386715,3562.76171875
aaaafdgb-1,2,1272.2850219726563,3555.5802978515626
aaaafdgc-1,2,1262.9441528320312,3523.7708740234375
aaaafdgd-1,2,1261.99599609375,3536.52294921875
aaaafdge-1,2,1263.4197875976563,3556.8445068359374
aaaafdgf-1,2,1333.6697143554686,3482.6778564453125
aaaafdgg-1,2,1335.0530395507812,3531.558251953125
aaaafdgh-1,2,1335.4738891601562,3518.0981201171876
aaaafdgi-1,2,1336.498205566406,3492.073095703125
aaaafdgj-1,4,1040.3268493652342,3509.9982177734373
aaaafdgk-1,4,1008.7902099609374,3513.4982421874997
aaaafdgl-1,4,995.8630920410156,3515.2858154296873
aaaafdgm-1,4,976.3040649414062,3519.251513671875
aaaafdgn-1,4,935.9787658691406,3514.8429687499997
aaaafdgo-1,4,1017.2965393066406,3517.148510742187
aaaafdgp-1,4,1049.6405334472656,3517.754052734375
aaaafdha-1,4,965.7318786621094,3520.5883544921876
aaaafdhb-1,4,1030.5717712402345,3522.0061279296874
aaaafdhc-1,4,948.2642333984376,3523.1005859375
aaaafdhd-1,4,1000.4786376953124,3527.7170654296874
aaaafdhe-1,4,1015.5168518066406,3530.64267578125
aaaafdhg-1,4,985.6948425292968,3532.139721679687
aaaafdhh-1,4,953.7159790039062,3534.0787841796873
aaaafdhi-1,4,1028.0892150878906,3536.9093505859373
aaaafdhj-1,4,967.0549194335936,3540.70322265625
aaaafdhk-1,4,1041.223126220703,3536.7167724609376
aaaafdhl-1,2,1048.6130004882812,3544.6589599609374
aaaafdhm-1,2,1044.277502441406,3546.92880859375
aaaafdhn-1,4,1023.1049072265624,3547.2791015625
