barcode,x,y,original_cluster,mclust_seed_141,mclust_seed_549,mclust_seed_75,mclust_seed_492,mclust_seed_676,mclust_seed_179,mclust_seed_587,mclust_seed_592,mclust_seed_601,mclust_seed_916,mclust_seed_518,mclust_seed_339,mclust_seed_921,mclust_seed_423,mclust_seed_330,mclust_seed_388,mclust_seed_273,mclust_seed_286,mclust_seed_61,mclust_seed_807,mclust_seed_283,mclust_seed_127,mclust_seed_165,mclust_seed_952,mclust_seed_311,mclust_seed_597,mclust_seed_473,mclust_seed_594,mclust_seed_605,mclust_seed_101
62,614.837279364459,160.730090398035,4,1,1,1,2,1,1,2,1,1,1,1,1,1,4,1,1,4,1,3,1,1,1,1,1,3,1,1,1,1,1
63,634.110632786244,160.730090398035,4,1,1,1,2,1,1,2,1,1,1,1,1,1,4,1,1,4,1,3,1,1,1,1,1,3,1,1,3,1,1
64,653.38398620803,160.730090398035,4,1,1,1,2,1,1,2,1,1,1,6,1,1,4,1,4,4,1,3,3,1,1,1,1,3,1,1,3,1,1
65,672.657339629815,160.730090398035,4,1,1,1,2,1,5,2,7,2,1,6,1,6,4,1,4,4,1,3,3,7,1,1,2,3,1,1,3,1,1
66,769.024106738743,160.730090398035,4,2,2,2,2,5,2,2,4,2,2,2,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
67,788.297460160528,160.730090398035,4,2,2,2,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
68,807.570813582314,160.730090398035,4,2,2,2,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
69,903.937580691241,160.730090398035,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
70,923.210934113027,160.730090398035,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
71,942.484287534812,160.730090398035,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,6,7,2,2,2,2,2,2,2,2,2
72,961.757640956598,160.730090398035,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,6,7,2,2,2,2,2,2,2,2,2
73,422.103745146603,180.00344381982,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
74,441.377098568389,180.00344381982,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
75,460.650451990174,180.00344381982,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
76,479.92380541196,180.00344381982,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
77,634.110632786244,180.00344381982,4,1,1,1,2,1,1,2,1,2,1,6,1,1,4,1,4,4,1,3,3,7,1,1,1,3,1,1,3,1,1
78,653.38398620803,180.00344381982,4,1,1,1,2,1,5,2,1,2,1,6,1,6,4,1,4,4,7,3,3,7,1,1,2,3,1,1,3,1,1
79,672.657339629815,180.00344381982,4,1,1,1,2,1,5,2,7,2,1,6,2,6,4,1,4,4,7,3,6,7,1,6,2,3,1,2,3,1,1
80,691.930693051601,180.00344381982,4,6,1,5,2,2,5,2,7,2,1,6,2,6,4,2,4,4,7,3,6,7,1,1,2,3,1,2,3,1,1
81,749.750753316957,180.00344381982,4,2,4,5,2,5,5,2,4,2,8,2,2,7,2,2,4,2,7,2,6,7,7,3,2,3,2,2,2,2,2
82,769.024106738743,180.00344381982,4,2,4,2,2,5,2,2,4,2,2,2,2,3,2,2,4,2,2,2,6,2,2,3,2,2,2,2,2,2,2
83,788.297460160528,180.00344381982,4,2,4,2,2,5,2,2,4,2,2,2,2,3,2,2,4,2,2,2,6,2,2,3,2,2,2,2,2,2,2
84,923.210934113027,180.00344381982,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,6,7,2,2,2,2,2,2,2,2,2
85,942.484287534812,180.00344381982,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,6,7,2,2,2,2,2,2,2,2,2
86,961.757640956598,180.00344381982,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,6,7,2,2,2,2,2,2,2,2,2
87,422.103745146603,199.276797241606,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
88,441.377098568389,199.276797241606,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
89,460.650451990174,199.276797241606,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
90,557.017219099102,199.276797241606,10,4,5,1,6,4,4,5,1,5,1,7,1,6,6,1,1,1,5,5,1,5,1,1,4,4,4,7,1,5,4
91,634.110632786244,199.276797241606,4,4,1,1,2,1,5,2,7,2,1,6,2,6,4,1,4,4,7,3,6,7,1,6,4,3,1,1,3,1,1
92,653.38398620803,199.276797241606,4,4,1,5,2,1,5,2,7,2,1,6,2,6,4,1,4,4,7,6,6,7,1,6,4,3,1,2,3,1,1
93,672.657339629815,199.276797241606,7,6,1,5,2,1,5,2,7,4,1,6,2,6,4,2,4,6,7,6,6,7,1,6,5,3,1,2,3,7,1
94,691.930693051601,199.276797241606,7,6,4,5,2,5,5,2,7,4,8,6,2,7,4,6,4,6,7,6,6,7,7,3,5,3,1,2,3,7,1
95,749.750753316957,199.276797241606,9,2,4,5,2,5,5,8,7,2,8,9,7,7,1,6,4,6,7,6,6,7,7,3,5,5,1,2,3,7,1
96,769.024106738743,199.276797241606,9,2,4,5,2,5,5,8,7,2,8,9,7,7,1,6,4,6,7,6,6,7,7,3,5,5,1,2,3,7,1
97,788.297460160528,199.276797241606,9,2,4,5,2,5,5,8,4,2,8,9,7,7,1,6,4,2,7,2,6,7,7,3,5,5,2,2,3,2,1
98,923.210934113027,199.276797241606,9,6,2,2,2,2,5,2,4,2,2,2,2,2,2,2,2,6,7,2,6,7,2,2,2,2,2,2,2,2,2
99,942.484287534812,199.276797241606,9,6,2,2,2,2,5,2,4,2,2,2,2,2,2,2,2,6,7,2,6,7,2,2,2,2,2,2,2,2,2
100,961.757640956598,199.276797241606,9,6,2,5,2,2,5,2,4,2,2,2,2,2,2,2,2,6,7,2,6,7,2,2,2,2,2,2,3,2,2
101,152.276797241606,218.550150663391,9,6,4,5,7,5,6,6,7,4,8,9,7,7,8,6,4,6,7,6,7,7,7,3,5,5,6,6,7,7,5
