barcode,x,y,original_cluster,mclust_seed_141,mclust_seed_549,mclust_seed_75,mclust_seed_492,mclust_seed_676,mclust_seed_179,mclust_seed_587,mclust_seed_592,mclust_seed_601,mclust_seed_916,mclust_seed_518,mclust_seed_339,mclust_seed_921,mclust_seed_423,mclust_seed_330,mclust_seed_388,mclust_seed_273,mclust_seed_286,mclust_seed_61,mclust_seed_807,mclust_seed_283,mclust_seed_127,mclust_seed_165,mclust_seed_952,mclust_seed_311,mclust_seed_597,mclust_seed_473,mclust_seed_594,mclust_seed_605,mclust_seed_101
64,2.0,-0.55,4,3,3,5,4,4,2,5,4,3,4,4,4,4,5,5,2,4,4,4,3,4,3,3,3,3,3,3,4,4,3
65,2.15,-0.55,4,3,3,4,5,4,2,4,4,3,4,5,4,4,5,5,2,4,4,4,3,4,3,3,2,3,3,3,4,4,3
66,2.3,-0.55,5,3,3,5,5,4,2,5,4,3,4,5,4,4,5,5,2,4,4,4,3,4,3,3,2,3,3,3,4,4,3
67,2.45,-0.55,5,2,2,3,5,4,4,5,4,3,4,5,2,4,5,2,2,3,4,3,2,4,2,2,2,2,3,3,4,5,3
68,2.6,-0.55,5,2,2,3,5,3,4,5,3,3,4,5,2,4,5,5,2,3,4,3,1,3,2,2,2,2,3,3,4,4,2
69,2.75,-0.55,5,2,2,3,5,2,4,4,3,3,5,5,2,2,5,2,4,3,4,1,1,3,2,4,2,2,3,3,3,5,2
70,2.9,-0.55,2,2,1,3,2,3,4,1,3,1,3,2,2,3,2,3,2,3,1,3,1,3,2,2,1,2,1,1,3,2,2
71,3.05,-0.55,2,2,1,3,2,3,4,1,3,1,3,2,2,2,3,3,2,3,1,3,1,3,2,2,1,2,1,1,3,2,2
72,3.2,-0.55,2,2,1,3,2,2,4,1,3,1,3,2,2,2,5,3,4,1,1,1,1,3,2,4,1,2,1,1,1,2,4
73,3.35,-0.55,2,2,1,3,2,3,4,1,3,1,3,2,2,2,3,3,2,3,1,3,1,3,2,2,1,2,1,1,3,2,2
74,-0.7,-0.4,1,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
75,-0.55,-0.4,1,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
76,-0.4,-0.4,2,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
77,-0.25,-0.4,2,4,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
78,-0.1,-0.4,4,4,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,3,5,2,1,1
79,0.05,-0.4,4,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,3,3,2,1,1
80,0.2,-0.4,4,1,2,2,1,1,1,3,3,2,2,2,2,1,3,3,1,3,1,3,1,3,1,1,2,1,2,3,3,1,1
81,0.35,-0.4,4,1,4,3,1,3,1,3,3,2,2,2,2,1,5,3,1,3,1,3,1,3,1,1,2,1,3,3,3,1,1
82,0.5,-0.4,4,1,3,3,3,3,1,3,3,3,3,2,2,2,3,3,2,4,3,3,2,3,1,2,3,1,2,2,3,1,1
83,0.65,-0.4,4,1,3,3,3,4,2,3,3,3,3,2,2,2,3,4,2,4,3,4,2,3,1,2,3,1,3,2,3,3,2
84,0.8,-0.4,4,3,4,3,3,4,2,3,3,3,3,2,2,2,3,4,2,4,3,4,3,3,3,2,3,1,3,2,3,3,2
