polygon_id,x,y
1,42301.695799,4342.4759724
1,41771.542443,4152.2410018
1,41528.4436016,4200.7731914
1,41451.4748692,4285.8198706
1,41415.4215568,4459.6675659
1,41309.4125492,4361.2107235
1,41203.2321108,4345.8332691
1,41020.5337453,4539.0642165
1,40913.4320448,4575.3945403
1,40795.2022887,4542.3828803
1,40692.3921352,4662.2725505
1,40736.751166,5068.929705
1,40693.5438663,5131.2085272
1,40677.017045,5369.9392134
1,40775.0385624,6161.7262392
1,40708.9189565,6269.1401572
1,40678.1687761,6669.4104996
1,40779.8271985,6781.5350582
1,40913.4320448,6733.1459437
1,41069.3618871,6827.6016441
1,40919.5530238,7149.5513553
1,40817.9776681,7089.3348035
1,40705.4868571,7178.3288137
1,40646.2668646,7430.2143532
1,40686.5170469,8353.0134997
1,40630.5066279,8914.2905874
1,40662.4023773,9311.6944165
1,40630.8917744,9398.8322818
1,40675.2508052,9484.25367
1,40630.5066279,9621.6534925
1,40680.6370496,10042.8109159
1,40630.8917744,10152.0237925
1,40662.4023773,10480.3809554
1,40615.1315377,10605.8105779
1,40649.8868691,11138.055331
1,40599.7564475,11605.3451178
1,40658.8786007,11759.1196624
1,40599.7564475,11866.7618436
1,40584.3813573,13204.6003816
1,40634.5117789,13352.4087731
1,40569.0062671,13681.3014698
1,40600.9020165,14217.102389
1,40554.0163234,14319.313951
1,40598.3753542,14420.4165516
1,40554.0163234,14565.3532223
1,40553.9956502,15016.396905
1,40542.8714275318,15297.792590503961
1,40481.65259776482,22173.944035796674
1,40706.12164024373,22137.94324288938
1,40767.34047001071,21921.938485445633
1,40848.96557636668,21597.93134928001
1,40971.40323590063,21057.919455670635
1,41073.43461884559,20661.910733690424
1,41114.24717202358,20301.902804617508
1,41257.091108146524,19833.892496822715
1,41359.12249109148,19581.886946471674
1,41379.52876768047,19365.88218902792
1,41501.96642721443,19149.877431584173
1,41583.5915335704,18897.871881233128
1,41522.37270380342,18717.867916696672
1,41583.5915335704,18573.864745067505
1,41665.216639926366,18357.859987623757
1,41665.216639926366,18177.856023087297
1,41726.435469693344,17997.852058550838
1,41848.87312922729,17709.845715292504
1,41991.71706535024,17565.842543663337
1,41930.49823558327,17853.848886921674
1,41869.27940581628,18177.856023087297
1,41848.87312922729,18537.863952160213
1,41950.90451217225,18825.87029541855
1,41889.68568240528,19185.878224491466
1,41746.841746282334,19437.883774842507
1,41644.81036333737,19653.888532286255
1,41624.404086748385,19905.894082637296
1,41706.029193104354,20193.90042589563
1,41685.622916515356,20445.905976246675
1,41644.81036333737,20733.91231950501
1,41603.99781015939,20985.91786985605
1,41542.77898039242,21237.92342020709
1,41440.74759744745,21489.928970558132
1,41338.71621450249,21705.933728001884
1,41216.278554968536,21921.938485445633
1,41073.43461884559,22101.942449982093
1,40869.37185295567,22641.954343591467
1,46644.348127640464,22713.955929406053
1,48950.257382196585,22677.95513649876
1,49174.7264246755,22461.950379055008
1,49276.75780762046,22065.941657074804
1,49317.57036079845,21705.933728001884
1,49317.57036079845,21525.929763465425
1,49480.820573510384,21453.928177650843
1,49562.44567986635,21849.936899631048
1,49542.03940327736,22065.941657074804
1,49358.38291397643,22425.94958614772
1,49358.38291397643,22713.955929406053
1,58888.1140810358,22785.957515220634
1,58969.73918739176,22353.948000333134
1,59071.77057033673,21813.93610672376
1,59316.64588940463,21525.929763465425
1,59683.958868006484,21525.929763465425
1,60112.49067637532,21453.928177650843
