"cell_id","x_centroid","y_centroid","Annotation_Type"
"aaaahcck-1",798.688772583008,1344.29678955078,NA
"aaaahccl-1",790.478262329102,1352.00821533203,NA
"aaaahccm-1",589.251916503906,1553.57670898438,NA
"aaaahccn-1",584.378994750977,1551.74721679687,NA
"aaaahcco-1",570.054077148438,1555.12366333008,NA
"aaaahccp-1",579.987258911133,1557.34505615234,NA
"aaaahcda-1",562.260733032227,1555.98071899414,NA
"aaaahcdb-1",572.233343505859,1560.42931518555,NA
"aaaahcdc-1",562.991876220703,1562.00802001953,NA
"aaaahcdd-1",601.083227539062,1561.93590698242,"Large Airway"
"aaaahcde-1",578.693426513672,1562.76017456055,NA
"aaaahcdf-1",588.178625488281,1561.27931518555,NA
"aaaahcdg-1",551.603515625,1560.55673217773,NA
"aaaahcdh-1",592.450726318359,1564.70193481445,"Large Airway"
"aaaahcdi-1",599.154904174805,1568.36797485352,"Large Airway"
"aaaahcdj-1",570.810952758789,1565.7265625,NA
"aaaahcdk-1",585.019140625,1568.7978515625,NA
"aaaahcdl-1",577.948483276367,1568.01083374023,NA
"aaaahcdm-1",561.150088500976,1569.14638061523,"Large Airway"
"aaaahcdn-1",572.879611206055,1574.01053466797,"Large Airway"
"aaaahcdo-1",566.811221313476,1570.82915649414,"Large Airway"
"aaaahcdp-1",591.195077514648,1571.18941040039,"Large Airway"
"aaaahcea-1",550.004473876953,1569.53444213867,"Large Airway"
"aaaahceb-1",557.130798339844,1573.57982788086,"Large Airway"
"aaaahcec-1",580.786935424805,1574.61721801758,"Large Airway"
"aaaahced-1",596.303897094726,1576.94724731445,"Large Airway"
"aaaahcee-1",543.845034790039,1568.98700561523,"Large Airway"
"aaaahcef-1",602.813265991211,1577.38137817383,"Large Airway"
"aaaahceg-1",549.7673828125,1575.42695922852,"Large Airway"
"aaaahceh-1",589.195834350586,1577.83397827148,"Large Airway"
"aaaahcei-1",566.980868530273,1576.01465454102,"Large Airway"
"aaaahcej-1",556.63913269043,1578.7391784668,"Large Airway"
"aaaahcek-1",563.302792358398,1578.29539794922,"Large Airway"
"aaaahcel-1",578.940426635742,1579.95430908203,"Large Airway"
"aaaahcem-1",549.872543334961,1579.99809570313,"Large Airway"
"aaaahcen-1",543.570953369141,1579.23016967773,"Large Airway"
"aaaahceo-1",570.380505371094,1581.53872070312,"Large Airway"
"aaaahcep-1",590.262225341797,1585.17560424805,"Large Airway"
"aaaahcfa-1",555.18447265625,1583.90330200195,"Large Airway"
"aaaahcfb-1",562.128024291992,1583.84602661133,"Large Airway"
"aaaahcfc-1",548.26162109375,1584.32384033203,"Large Airway"
"aaaahcfd-1",579.983731079102,1585.03407592773,"Large Airway"
"aaaahcfe-1",568.505099487305,1585.1872253418,NA
"aaaahcff-1",558.964389038086,1587.88715820312,"Large Airway"
"aaaahcfg-1",549.51633605957,1588.37150878906,"Large Airway"
"aaaahcfh-1",574.294219970703,1589.70077514648,"Large Airway"
"aaaahcfi-1",566.837316894531,1589.60770263672,"Large Airway"
"aaaahcfj-1",552.968734741211,1590.79959106445,"Large Airway"
"aaaahcfk-1",563.47399597168,1591.95225830078,"Large Airway"
"aaaahcfl-1",582.827838134766,1592.5015625,"Large Airway"
"aaaahcfm-1",557.623916625977,1592.87655029297,"Large Airway"
"aaaahcfn-1",546.010293579102,1593.23358764648,"Large Airway"
"aaaahcfo-1",553.433163452148,1596.61408081055,"Large Airway"
"aaaahcfp-1",573.009829711914,1597.20603027344,NA
"aaaahcga-1",560.440008544922,1599.11645507812,"Large Airway"
"aaaahcgb-1",545.565319824219,1598.99588623047,"Large Airway"
"aaaahcgc-1",568.11672668457,1598.77716064453,"Large Airway"
"aaaahcgd-1",578.466711425781,1600.8451965332,"Large Airway"
"aaaahcge-1",593.245837402344,1607.64436645508,"Large Airway"
"aaaahcgf-1",548.459750366211,1603.57283325195,"Large Airway"
"aaaahcgg-1",565.064944458008,1601.96974487305,"Large Airway"
"aaaahcgh-1",555.017315673828,1603.29984130859,"Large Airway"
"aaaahcgi-1",569.58098449707,1612.02883911133,"Large Airway"
"aaaahcgj-1",559.408843994141,1610.94735107422,"Large Airway"
"aaaahcgk-1",548.787579345703,1609.80744628906,"Large Airway"
"aaaahcgl-1",552.202157592773,1612.60314941406,"Large Airway"
"aaaahcgm-1",560.496505737305,1624.50356445312,"Large Airway"
"aaaahcgn-1",546.058438110352,1617.9979309082,"Large Airway"
"aaaahcgo-1",547.616339111328,1631.44270629883,"Large Airway"
"aaaahcgp-1",567.522338867188,1655.76690063477,"Large Airway"
"aaaahcha-1",548.223178100586,1663.69891967773,"Large Airway"
"aaaahchb-1",603.969564819336,1656.69772949219,"Large Airway"
"aaaahchc-1",549.500253295898,1673.44631958008,"Large Airway"
"aaaahchd-1",556.378021240234,1672.31305541992,"Large Airway"
"aaaahche-1",563.090188598633,1675.51186523437,"Large Airway"
"aaaahchf-1",575.105206298828,1675.67497558594,"Large Airway"
"aaaahchg-1",556.910153198242,1680.01586914062,"Large Airway"
"aaaahchh-1",549.954461669922,1681.21170043945,"Large Airway"
"aaaahchi-1",591.141952514648,1670.20061035156,NA
"aaaahchj-1",582.992504882812,1614.59274291992,"Large Airway"
"aaaahchk-1",595.064486694336,1595.3102355957,"Large Airway"
"aaaahchl-1",673.03030090332,1461.34382324219,"Large Airway"
"aaaahchm-1",609.009176635742,1462.6344909668,"Large Airway"
"aaaahchn-1",632.470193481445,1465.13997802734,"Large Airway"
"aaaahcho-1",650.815853881836,1459.40455322266,"Large Airway"
"aaaahchp-1",676.055987548828,1472.60341796875,"Large Airway"
"aaaahcia-1",636.074600219727,1469.35926513672,"Large Airway"
"aaaahcib-1",612.522326660156,1470.59649658203,"Large Airway"
"aaaahcic-1",661.44479675293,1464.56743164063,"Large Airway"
"aaaahcid-1",653.643981933594,1470.88577880859,"Large Airway"
"aaaahcie-1",644.771951293945,1469.62509765625,"Large Airway"
"aaaahcif-1",635.204885864258,1479.07283935547,"Large Airway"
"aaaahcig-1",647.413467407227,1478.156640625,"Large Airway"
"aaaahcih-1",645.886694335937,1484.58663330078,NA
"aaaahcii-1",659.305270385742,1480.00190429687,"Large Airway"
"aaaahcij-1",652.542468261719,1483.52734985352,"Large Airway"
"aaaahcik-1",619.929165649414,1485.4912109375,"Large Airway"
"aaaahcil-1",664.930346679687,1485.21759643555,"Large Airway"
"aaaahcim-1",678.734857177734,1488.74781494141,"Large Airway"
"aaaahcin-1",641.314157104492,1493.13540039062,NA
"aaaahcio-1",650.884075927734,1495.57697143555,"Large Airway"
"aaaahcip-1",625.925909423828,1499.21447753906,"Large Airway"
"aaaahcja-1",651.997262573242,1502.99672851562,"Large Airway"
"aaaahcjb-1",662.269323730469,1498.21412963867,"Large Airway"
"aaaahcjc-1",657.408905029297,1507.75494384766,"Large Airway"
"aaaahcjd-1",632.230715942383,1513.36264038086,"Large Airway"
"aaaahcje-1",673.554702758789,1505.48519897461,"Large Airway"
"aaaahcjf-1",656.501162719726,1515.55498046875,"Large Airway"
"aaaahcjg-1",680.000726318359,1514.27728271484,NA
"aaaahcjh-1",667.075942993164,1515.80130615234,"Large Airway"
"aaaahcji-1",615.687777709961,1522.45759887695,"Large Airway"
"aaaahcjj-1",677.713290405273,1525.86683349609,"Large Airway"
"aaaahcjk-1",658.65132446289,1533.27476196289,"Large Airway"
"aaaahcjl-1",671.451647949219,1524.72246704102,"Large Airway"
"aaaahcjm-1",608.193884277344,1530.75588989258,NA
"aaaahcjn-1",681.449368286133,1534.92049560547,"Large Airway"
"aaaahcjo-1",672.708126831055,1542.50357055664,"Large Airway"
"aaaahcjp-1",604.223828125,1537.07402954102,"Large Airway"
"aaaahcka-1",610.188665771484,1538.58134765625,"Large Airway"
"aaaahckb-1",624.921411132813,1534.57186279297,"Large Airway"
"aaaahckc-1",617.569046020508,1537.0559753418,"Large Airway"
"aaaahckd-1",612.678692626953,1543.42537231445,"Large Airway"
"aaaahcke-1",638.925762939453,1537.59521484375,"Large Airway"
"aaaahckf-1",621.562084960937,1546.15570678711,"Large Airway"
"aaaahckg-1",615.054272460937,1548.17653198242,"Large Airway"
"aaaahckh-1",620.245321655273,1553.71761474609,"Large Airway"
"aaaahcki-1",604.610333251953,1556.54527587891,"Large Airway"
"aaaahckj-1",618.207479858398,1562.22767944336,"Large Airway"
"aaaahckk-1",623.130154418945,1579.55483398437,"Large Airway"
"aaaahckl-1",627.972933959961,1548.16096801758,"Large Airway"
"aaaahckm-1",610.417196655273,1549.66050415039,"Large Airway"
"aaaahckn-1",642.827285766602,1550.70463867188,"Large Airway"
"aaaahcko-1",611.646334838867,1554.9956237793,"Large Airway"
"aaaahckp-1",638.693496704102,1561.44055786133,"Large Airway"
"aaaahcla-1",629.33405456543,1564.94649658203,"Large Airway"
"aaaahclb-1",611.40364074707,1561.66156616211,"Large Airway"
"aaaahclc-1",622.561239624023,1561.13581542969,"Large Airway"
"aaaahcld-1",609.242428588867,1568.04839477539,"Large Airway"
"aaaahcle-1",620.343530273438,1570.07088012695,"Large Airway"
"aaaahclf-1",609.407977294922,1575.96713256836,"Large Airway"
"aaaahclg-1",630.726147460937,1596.81153564453,"Large Airway"
"aaaahclh-1",612.181060791016,1603.62149658203,"Large Airway"
"aaaahcli-1",607.082928466797,1587.39544067383,"Large Airway"
"aaaahclj-1",642.218475341797,1662.76217651367,NA
"aaaahclk-1",652.602182006836,1661.33952636719,"Large Airway"
"aaaahcll-1",628.365924072266,1662.9190612793,NA
"aaaahclm-1",636.382455444336,1663.83494873047,"Large Airway"
"aaaahcln-1",662.642028808594,1660.71821289062,"Large Airway"
"aaaahclo-1",675.318151855469,1663.56517333984,"Large Airway"
"aaaahclp-1",653.196984863281,1676.32793579102,"Large Airway"
"aaaahcma-1",660.637908935547,1675.42574462891,"Large Airway"
"aaaahcmb-1",615.108953857422,1671.35753173828,"Large Airway"
"aaaahcmc-1",673.794284057617,1674.72962036133,"Large Airway"
"aaaahcmd-1",624.017404174805,1678.11198120117,"Large Airway"
"aaaahcme-1",632.410946655273,1684.05119018555,"Large Airway"
"aaaahcmf-1",609.099291992187,1680.75567626953,"Large Airway"
"aaaahcmg-1",686.526385498047,1518.40858154297,"Large Airway"
"aaaahcmh-1",688.875247192383,1506.55599975586,"Large Airway"
"aaaahcmi-1",689.248315429688,1526.72938842773,"Large Airway"
"aaaahcmj-1",680.261267089844,1568.59790649414,"Large Airway"
"aaaahcmk-1",679.488619995117,1589.64256591797,"Large Airway"
"aaaahcml-1",680.404870605469,1605.60922241211,"Large Airway"
"aaaahcmm-1",612.082852172852,1333.10681762695,NA
"aaaahcmn-1",617.589331054687,1357.03205566406,NA
"aaaahcmo-1",619.202432250977,1244.52295532227,NA
"aaaahcmp-1",625.864016723633,1340.81533813477,NA
"aaaahcna-1",632.623550415039,1346.46765136719,NA
"aaaahcnb-1",634.417193603516,1361.02815551758,NA
"aaaahcnc-1",634.506427001953,1316.98846435547,NA
"aaaahcnd-1",642.03056640625,1350.92330322266,NA
"aaaahcne-1",646.524661254883,1334.57501831055,NA
"aaaahcnf-1",653.391949462891,1353.95381469727,NA
"aaaahcng-1",653.138256835937,1367.01291503906,NA
"aaaahcnh-1",653.16653137207,1319.678125,NA
"aaaahcni-1",657.989907836914,1305.65852050781,NA
"aaaahcnj-1",668.175692749023,1367.00679321289,NA
"aaaahcnk-1",662.907809448242,1347.21399536133,NA
"aaaahcnl-1",667.222036743164,1319.81322021484,NA
"aaaahcnm-1",670.188061523437,1337.85361938477,NA
"aaaahcnn-1",673.353512573242,1325.15249023437,NA
"aaaahcno-1",677.512100219727,1347.36683349609,NA
"aaaahcnp-1",671.428094482422,1298.36669921875,NA
"aaaahcoa-1",679.096823120117,1286.69517822266,NA
